"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PMI1426",2603.37882766334,2.53645694428352,0.296310877558014,8.56012092835476,1.12749194508052e-17,3.90224962192369e-14
"PMI1425",1440.35577466471,2.21940466732816,0.320727961273107,6.91989765569047,4.51970051321707e-12,7.82134173812213e-09
"PMI2396",2135.79207343317,2.21730458466874,0.340586634971196,6.51025130465339,7.50251836759442e-11,8.6554053567481e-08
"PMI2397",485.584871975794,1.80208875918853,0.331703946695451,5.43282278411684,5.54694898125461e-08,4.79949760603055e-05
"PMI1427",2649.00442474931,1.59896399885112,0.306139743376165,5.22298732342771,1.76059447168029e-07,8.70488209497925e-05
"PMI1428",550.647136174624,1.55976850289601,0.289869446322327,5.38093449546108,7.41001567584477e-08,5.04026451413558e-05
"PMI1429",214.018585832295,1.35855605701418,0.270262403053894,5.02680373467732,4.98722304961981e-07,0.000215759737184177
"PMI2572",31.7721705071855,1.34169299100278,0.336366335202499,3.98878499596297,6.64125805331429e-05,0.01198242584439
"PMI0236",64.2584155311405,1.32575398309912,0.302935357391798,4.3763593477947,1.20678001513909e-05,0.00298333259456886
"PMI1002",470.337953735891,1.24301334466842,0.274415810430486,4.52967102266614,5.90755985942533e-06,0.00185873315213373
"PMI1430",308.746938431002,1.1668372385163,0.249472290114545,4.67722181882625,2.90787654431168e-06,0.00100641607198627
"PMI2402",1114.93288914218,1.1456910423816,0.310945505692628,3.6845396424997,0.000229116366035515,0.0283204193874613
"PMI0229",120.847144433248,1.14313516923415,0.276274765915512,4.13767491738183,3.5084296847555e-05,0.00674593063274377
"PMI0231",67.8307138092969,1.13295822581254,0.340846513587978,3.32395427456854,0.000887507463566798,0.0614332666280938
"PMI2574",10.2736924757075,1.11448356603819,0.340822253396425,3.26998473524523,0.00107553288093259,0.0687783339100449
"PMI2401",205.763537140664,1.11060802435767,0.340643549036404,3.26032307818334,0.0011128537125,0.0687783339100449
"PMI3710",234.606876804957,1.09766332356482,0.258713330951804,4.24277836602591,2.2076944159028e-05,0.00477551898339974
"PMIP39",394.454646053363,1.04888727525023,0.319690306613948,3.28094800984016,0.00103458812743707,0.0687783339100449
"PMI3543",18.5841755683811,1.04779618392357,0.323273455753307,3.24120698831257,0.00119024725333321,0.0710249266170041
"PMI2403",476.536041384818,1.04747125851524,0.305183764349048,3.43226403524277,0.000598564503335573,0.0514085375483551
"PMI1548",741.258314715389,1.04511012974247,0.308633721160634,3.38624738026772,0.000708554792003977,0.0544957363361281
"PMI1726",271.399875426763,1.01721544774307,0.331110953229597,3.07212865603308,0.00212538097659105,0.0855342274416468
"PMI0232",79.8963012014742,1.00345907857931,0.311938468632575,3.21684940936623,0.00129606607857227,0.0723706326147497
"fig|529507.6.peg.2072",17.566187468349,1.00176035008856,0.330886386353601,3.02750548648451,0.00246581237871056,0.0882343432948587
"PMI3033",65.0673520608984,1.00156728087002,0.300512345778946,3.33286567070612,0.000859564323784327,0.0607133086656644
"PMI2082",449.242836321544,-1.0007022598859,0.329246712700481,-3.03936902415257,0.00237074262546304,0.0882343432948587
"PMI2796",1581.21721889233,-1.00271020419201,0.228607731940932,-4.38616050156648,1.15369005759569e-05,0.00298333259456886
"fig|529507.6.peg.3416",47.8398930859147,-1.01128093222047,0.265598676977546,-3.80755259675472,0.000140348894983745,0.0202394802307809
"PMI3376",2376.87888588834,-1.05265030143248,0.297471392071192,-3.53866062246601,0.000402162529474613,0.0405473712596883
"PMI0584",9948.19998299101,-1.05360435949369,0.234212779642887,-4.4984921877455,6.84371108850784e-06,0.00197384033977714
"PMI1417",1162.09387218635,-1.05824501018273,0.265965984372307,-3.97887351151406,6.92425648332276e-05,0.01198242584439
"PMI0648",1809.6927829346,-1.0719003432037,0.200310684689363,-5.35118905347448,8.73781770725614e-08,5.04026451413558e-05
"PMI3401",187.377004868571,-1.07939097170458,0.297539616439053,-3.62772186313443,0.000285933042469738,0.0329871419995921
"PMI0729",619.924376324518,-1.08423187174129,0.311326871035973,-3.48261577336191,0.000496540466653076,0.046446663650981
"PMI0861",12880.3016401906,-1.13417273217087,0.262781802959423,-4.31602462346301,1.58864265993271e-05,0.00366552816401807
"fig|529507.6.peg.3417",40.2784472306037,-1.37565592400462,0.290047429616009,-4.74286541972063,2.10716262450674e-06,0.000810321093713091
